key,en,es
Talk,Talk,Hablar
Inspect,Inspect,Inspeccionar
Sleep,Sleep,Dormision
Stream,Stream,Stream
Continue,Continue,Continuar
StartDialogue1,Where I am?,Donde estoy?
StartAnswear1,"In my room, obiously. Do you have vision problems?","En mi habitación, evidentemente. Te pasa algo en la vista?"
StartDialogue1.1,And where is your room?,Y donde está tú habitación?
StartAnswear1.1,"In my home. Otherwise, where would it be?",En mi casa. Si no donde iba a estar?
StartDialogue1.1.1,Are you serious?,Vas en serio?
StartAnswear1.1.1,I am always serious.,Yo siempre voy en serio.
StartDialogue2,,Como he llegado hasta aquí?
StartAnswear2,,Solo apareciste.
StartDialogue3,,Cuanto llevo aquí?
StartAnswear3,,ALGUNA VEZ NO HAS ESTADO AQUÍ?
StartDialogue3.1,,"Ya, yo siempre he estado aquí."
StartDialogue3.2,,"A ver, no creo que seas mí madre por lo que creo que sí."
StartAnswear3.1,,"El pasado ni el futuro importan, solo importa el presente."
StartDialogue3.2.1,,Antes me has dicho que he aparecido por lo que significa que no siempre he estado aquí
StartAnswear3.1.1,,Ya.
StartAnswear3.1.2,,Por eso.
StartAnswear3.1.3,,No te puedo responder. Has aparecido por tu propia cuenta por lo que no sé el motivo.
StartDialogue4,,Quién eres?
StartAnswear4,,Por fin una buena pregunta.
StartAnswear4.1,,"Yo soy yo, al igual que tú eres tú, si tú no fueras tú ya no estaría teniendo una conversación contigo."
StartAnswear4.2,,Al igual que si yo no fuera yo no estaríamos teniendo esta conversación. Es algo mutuo. Entiendes?
StartDialogue4.1,,Ok.
StartAnswear4.1.1,,Encantada de ser de ayuda.
StartDialogue4.2,,Eso no responde mi pregunta
StartAnswear4.2.1,,Cuál pregunta?
StartDialogue4.2.1,,Quién eres?
StartAnswear4.2.1.1,,Yo soy tú.
StartAnswear4.2.1.2,,A no…
StartAnswear4.2.1.3,,Digamos que todo lo que debes saber es que estoy aquí para tí.
StartDialogue5,,Puedo salir?
StartAnswear5,,N O